x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-17.85000E-03,+145.62E-06,-12.86995971E+00,-157.68E-06,+18.85717666E+00
-17.82500E-03,+131.14E-06,-12.99156776E+00,-187.42E-06,+18.86873422E+00
-17.80000E-03,+130.34E-06,-13.11317580E+00,-162.10E-06,+18.86873467E+00
-17.77500E-03,+120.29E-06,-13.26292432E+00,-173.35E-06,+18.86973947E+00
-17.75000E-03,+112.25E-06,-13.37146771E+00,-174.56E-06,+18.86973947E+00
-17.72500E-03,+114.66E-06,-13.49056274E+00,-159.28E-06,+18.86973947E+00
-17.70000E-03,+117.47E-06,-13.62825141E+00,-185.01E-06,+18.86973947E+00
-17.67500E-03,+129.13E-06,-13.72121601E+00,-169.33E-06,+18.86973947E+00
-17.65000E-03,+130.34E-06,-13.84232177E+00,-170.14E-06,+18.85717666E+00
-17.62500E-03,+130.34E-06,-13.93930647E+00,-170.54E-06,+18.86722713E+00
-17.60000E-03,+130.34E-06,-14.05287408E+00,-150.44E-06,+18.86973947E+00
-17.57500E-03,+125.11E-06,-14.13227130E+00,-174.96E-06,+18.86973947E+00
-17.55000E-03,+127.12E-06,-14.24131653E+00,-157.27E-06,+18.86973947E+00
-17.52500E-03,+120.29E-06,-14.28553740E+00,-175.36E-06,+18.86772919E+00
-17.50000E-03,+120.29E-06,-14.38403010E+00,-190.64E-06,+18.86973947E+00
-17.47500E-03,+110.24E-06,-14.46794970E+00,-165.31E-06,+18.85717666E+00
-17.45000E-03,+100.19E-06,-14.53076354E+00,-170.94E-06,+18.86119652E+00
-17.42500E-03,+95.36E-06,-14.64835171E+00,-164.91E-06,+18.86973947E+00
-17.40000E-03,+100.19E-06,-14.70714568E+00,-151.24E-06,+18.86973947E+00
-17.37500E-03,+106.22E-06,-14.82875373E+00,-182.60E-06,+18.86973947E+00
